個  股  總  覽 -- 2897 臺工銀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,進口LC金額,進口LC金額,進口LC金額,進口LC金額,進口LC金額,進口LC金額,進口LC金額,進口LC金額,出口LC通知金額,出口LC通知金額,出口LC通知金額,出口LC通知金額,進口LC通知金額,出口LC通知金額,出口LC通知金額,出口LC通知金額,出口LC貸款,出口LC貸款,出口LC貸款,出口LC貸款,出口LC貸款,出口LC貸款,出口LC貸款,出口LC貸款,出口LC押匯,出口LC押匯,出口LC押匯,出口LC押匯,出口LC押匯,出口LC押匯,出口LC押匯,出口LC押匯,進口LC金額,進口LC金額,出口LC通知金額,出口LC通知金額,出口LC貸款,出口LC貸款,出口LC押匯,出口LC押匯
,單月,累計,單月成長率％,累計成長率％,單月占有率％--L(F),累計占有率％--L(F),單月(去年),累計(去年),單月,累計,單月成長率％,累計成長率％,單月占有率％--L(F),累計占有率％--L(F),單月去年同期,累計去年同期,單月,累計,單月成長率％,累計成長率％,單月占有率％--L(F),累計占有率％--L(F),單月去年同期,累計去年同期,單月,累計,單月成長率％,累計成長率％,單月占有率％--L(F),累計占有率％--L(F),單月去年同期,累計去年同期,單月占有率％--(L+F),累計占有率％--(L+F),單月占有率％--(L+F),累計占有率％--(L+F),單月占有率％--(L+F),累計占有率％--(L+F),單月占有率％--(L+F),累計占有率％--(L+F)
,"USD, 1000","USD, 1000",,,,,"USD, 1000","USD, 1000","USD, 1000","USD, 1000",,,,,"USD, 1000","USD, 1000","USD, 1000","USD, 1000",,,,,"USD, 1000","USD, 1000","USD, 1000","USD, 1000",,,,,"USD, 1000","USD, 1000",,,,,,,,
Jan-16,"5,215","5,215",-11.54,-11.54,-,-,"5,895","5,895",118,118,-99.26,-99.26,-,-,"15,898","15,898",0,0,0,0,-,-,0,0,"1,645","1,645",-87.63,-87.63,-,-,"13,295","13,295",0.15,0.15,0,0,0,0,0.05,0.05
Dec-15,"7,280","91,118",-69.84,-39.83,-,-,"24,134","151,440",578,"40,740",109.42,24.43,-,-,276,"32,740",0,0,0,0,-,-,0,0,"2,810","28,460",-34.45,-46.99,-,-,"4,287","53,692",0.2,0.18,0.01,0.07,0,0,0.07,0.05
Nov-15,"8,388","83,838",36.99,-34.14,-,-,"6,123","127,306","1,847","40,162",-38.98,23.71,-,-,"3,027","32,464",0,0,0,0,-,-,0,0,"1,246","25,650",-82.62,-48.08,-,-,"7,171","49,405",0.22,0.18,0.05,0.08,0,0,0.03,0.05
Oct-15,"6,545","75,450",-54.19,-37.74,-,-,"14,287","121,183",0,"38,315",0,30.16,-,-,73,"29,437",0,0,0,0,-,-,0,0,"1,535","24,404",-82.55,-42.22,-,-,"8,798","42,234",0.17,0.17,0,0.08,0,0,0.04,0.05
Sep-15,"3,683","68,905",-74.24,-35.54,-,-,"14,300","106,896",806,"38,315",-90.72,30.48,-,-,"8,685","29,364",0,0,0,0,-,-,0,0,777,"22,869",-92.21,-31.6,-,-,"9,975","33,436",0.09,0.17,0.02,0.09,0,0,0.02,0.05
Aug-15,"3,982","65,222",-67.18,-29.56,-,-,"12,131","92,596",0,"37,509",0,81.39,-,-,0,"20,679",0,0,0,0,-,-,0,0,"1,657","22,092",51.46,-5.84,-,-,"1,094","23,461",0.09,0.18,0,0.09,0,0,0.04,0.05
Jul-15,"12,382","61,240",138.53,-23.89,-,-,"5,191","80,465",327,"37,509",0,81.39,-,-,0,"20,679",0,0,0,0,-,-,0,0,"1,389","20,435",181.74,-8.64,-,-,493,"22,367",0.28,0.19,0.01,0.1,0,0,0.03,0.06
Jun-15,"6,660","48,858",-31.05,-35.09,-,-,"9,659","75,274","6,125","37,182",322.41,79.81,-,-,"1,450","20,679",0,0,0,0,-,-,0,0,"1,434","19,046",-1.85,-12.93,-,-,"1,461","21,874",0.15,0.18,0.12,0.12,0,0,0.03,0.06
May-15,"6,139","42,198",10.47,-35.69,-,-,"5,557","65,615",605,"31,057",-85.24,61.51,-,-,"4,100","19,229",0,0,0,0,-,-,0,0,947,"17,612",-0.42,-13.72,-,-,951,"20,413",0.14,0.19,0.01,0.12,0,0,0.02,0.07
Apr-15,"9,195","36,059",-41.31,-39.96,-,-,"15,668","60,058","9,905","30,452",63.72,101.28,-,-,"6,050","15,129",0,0,0,0,-,-,0,0,740,"16,665",-91.38,-14.37,-,-,"8,580","19,462",0.19,0.2,0.18,0.15,0,0,0.01,0.08
Mar-15,"6,676","26,864",-64.11,-39.48,-,-,"18,603","44,390","3,110","20,547",24.4,126.31,-,-,"2,500","9,079",0,0,0,0,-,-,0,0,"1,387","15,925",-77.72,46.34,-,-,"6,224","10,882",0.13,0.2,0.06,0.14,0,0,0.02,0.1
Feb-15,"14,293","20,188",-5.11,-21.71,-,-,"15,063","25,787","1,539","17,437",491.92,165.04,-,-,260,"6,579",0,0,0,0,-,-,0,0,"1,243","14,538",-6.96,212.11,-,-,"1,336","4,658",0.4,0.25,0.04,0.19,0,0,0.03,0.14
Jan-15,"5,895","5,895",-45.03,-45.03,-,-,"10,724","10,724","15,898","15,898",151.59,151.59,-,-,"6,319","6,319",0,0,0,0,-,-,0,0,"13,295","13,295",300.21,300.21,-,-,"3,322","3,322",0.13,0.13,0.31,0.31,0,0,0.23,0.23
Dec-14,"24,134","151,440",293.13,22.04,-,-,"6,139","124,091",276,"32,740",-96.79,-20.32,-,-,"8,611","41,091",0,0,0,0,-,-,0,0,"4,287","53,692",121.55,14.09,-,-,"1,935","47,063",0.47,0.23,0,0.04,0,0,0.06,0.07
Nov-14,"6,123","127,306",63.8,7.93,-,-,"3,738","117,952","3,027","32,464",0,-0.05,-,-,0,"32,480",0,0,0,0,-,-,0,0,"7,171","49,405",-43.56,9.48,-,-,"12,705","45,128",0.12,0.21,0.06,0.04,0,0,0.13,0.07
